spotify_id,name,artists,daily_rank,daily_movement,country,snapshot_date,is_explicit,duration_ms,danceability,energy,valence,tempo
1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,50,0,PH,2023-10-18,True,219724,0.511,0.532,0.35,138.005
4lIxdJw6W3Fg4vUIYCB0S5,Style,Taylor Swift,22,28,PH,2023-10-18,False,231000,0.598,0.786,0.456,95.019
1acVBP8BcK6LTeNeFjfxnh,seasons,wave to earth,21,29,PH,2023-10-18,False,256000,0.333,0.275,0.16,59.157
7jaW3zW1UquUY4I2j7OoAZ,Silly Hoes,"CK YG, HELLMERRY",20,30,PH,2023-10-18,True,179080,0.73,0.578,0.186,88.974
4AULw1VRyJP17zMvwgTIUs,Umaasa,Calein,19,31,PH,2023-10-18,False,335624,0.627,0.433,0.353,96.016
47OFMuRu5lzJHRbtEXPBbs,Uhaw (Tayong Lahat),Dilaw,18,32,PH,2023-10-18,False,241185,0.635,0.724,0.316,135.927
1t2gvCG4jH1kYE9sX2PrRs,Nahuhulog,Jed Baruelo,17,33,PH,2023-10-18,False,227262,0.612,0.389,0.348,125.091
7b89Ffklm3xh4GI37vlZDZ,Tingin,"Cup of Joe, Janine",16,34,PH,2023-10-18,False,222298,0.624,0.769,0.466,105.099
01qFKNWq73UfEslI0GvumE,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",15,35,PH,2023-10-18,True,201812,0.853,0.824,0.888,108.044
47sq83n5WN22ZzYnGn8aTy,Mahika,"Adie, Janine Berdin",14,36,PH,2023-10-18,False,201951,0.635,0.451,0.601,81.976
3gRhGExNITCqVo0mCyqp3m,WELCOME2DTQ,Hev Abi,13,37,PH,2023-10-18,True,179115,0.857,0.421,0.0775,120.014
5aIVCx5tnk0ntmdiinnYvw,Water,Tyla,23,27,PH,2023-10-18,False,200255,0.673,0.722,0.519,117.187
61DuXKQqvXkxcrAIiNLIgR,Saan?,Maki,12,38,PH,2023-10-18,False,206500,0.596,0.785,0.695,120.022
6t4krDdBmRmcRH7mb8wPRL,Gusto feat. Al James,"Zack Tabudlo, Al James",10,40,PH,2023-10-18,False,260000,0.608,0.695,0.203,83.965
2K0CH6BtfBtY7wMnsKIuzo,Lihim,Arthur Miguel,9,41,PH,2023-10-18,False,246346,0.48,0.538,0.392,207.924
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,8,42,PH,2023-10-18,False,137773,0.504,0.308,0.121,113.95
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",7,43,PH,2023-10-18,True,184400,0.802,0.832,0.89,124.997
4XSIv5hJzP6kEQqsLli1eE,Kisame,rhodessa,6,44,PH,2023-10-18,False,212608,0.578,0.305,0.197,99.914
0mtkRIAOueeXqHpyahIbtJ,Raining In Manila,Lola Amour,5,45,PH,2023-10-18,False,291070,0.715,0.699,0.612,114.994
01iNOMVE89uKaurFTDZX2Y,homebdy (feat. Madman Stan),"DĖMI, slimedemidemislime, Madman Stan",4,46,PH,2023-10-18,False,141762,0.747,0.441,0.714,121.925
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,3,47,PH,2023-10-18,False,178426,0.552,0.702,0.564,169.994
3kdDccXEVz0snh6mcL4eFj,YK,Cean Jr.,2,48,PH,2023-10-18,False,170263,0.717,0.353,0.538,118.005
2BLdelIp46CHvKkyWeqZHL,ERE,juan karlos,1,49,PH,2023-10-18,True,284812,0.48,0.571,0.257,146.051
0uZFcsx96wzbixsULmrg8o,Pasilyo,SunKissed Lola,11,39,PH,2023-10-18,False,270250,0.71,0.61,0.404,120.032
